Name,pct_white,pct_black,pct_hispanic,pct_asian,pct_native,pct_hipi
Ancarows Landing,0.10436596793480575,0.7590360127420964,0.05134706779756266,6.031972971180495e-05,0.002701176477300136,0.0
Beaufont,0.19078361035638625,0.7762060746080156,0.025591725216945815,0.005609901052062949,1.8421401818063e-05,0.0
Belle and Mayo Islands,0.49569745577859214,0.34167421718566343,0.026587364434311454,0.027043528367630992,1.1566718908712782e-06,0.0
Bellemeade,0.10414168388490597,0.759193041003449,0.05120539552736267,1.6600281601689284e-05,0.002716869511092269,0.0
Bellevue,0.6319712809763065,0.27920083949392077,0.018268783598093495,0.014295628228436106,0.0,0.0
Belmont Woods,0.1873862349770765,0.7117542611226558,0.08089909170038738,0.0,4.215417784264208e-06,0.0
Belt Center,0.1123863886413184,0.6201326826939308,0.2026013811675062,0.02035667488472735,0.0008248447399257844,0.0
Biotech and MCV District,0.37409661103572106,0.5295683834259293,0.036414285920788776,0.029571235504567518,5.7053638059345665e-05,0.0
Blackwell,0.2149645687626109,0.6864930764089476,0.012952591141980075,0.0037977062721286686,4.440333226720533e-06,0.0
Brauers,0.05840075987951585,0.8951032741816615,0.02268643013124486,6.9867288960339175e-09,0.003144652912231442,0.0
British Camp Farms,0.23284888907047507,0.3082744642948164,0.3739594735186718,0.014125101094702499,2.7782518440783306e-06,0.0
Broad Rock,0.1895344208181027,0.7150500810851136,0.04998997431400975,0.0017407325783189791,0.0007388183891782919,0.0
Broad Rock Industrial Park,0.1857842772758604,0.7197422080216964,0.06985776818925893,0.001481790169839734,1.3874883092704768e-05,0.0
Broad Rock Sports Complex,0.1807880955723124,0.6198748982653381,0.1541643766825522,0.00013075559471234039,0.010213876140964131,0.0
Brookbury,0.18893823192133488,0.6983073426082912,0.09062558987826311,0.00047337617708951635,0.0,0.0
Brookhaven Farms,0.18659209365834897,0.711021094921289,0.0822895001840254,5.709485374995067e-05,2.4522434936474344e-06,0.0
Brookland Park,0.25538411270723255,0.6653521921090774,0.016984564323502514,0.0037948327700387317,0.005220345449317907,0.0
Bryan Park,0.7157421760455962,0.24874749429454102,0.02086637816493649,0.0005971443392411391,0.0,0.0
Byrd Park,0.4541829779923169,0.49514364358784185,0.016916456132454693,0.020010243662244603,0.0,0.0
Capitol District,0.5214485619237655,0.3400178102068696,0.038099790754082555,0.05408428890479897,0.0,0.0
Carillon,0.7075512601634123,0.23485829038805686,0.005501260590968826,0.03944965727749339,0.0,0.0
Carver,0.35458302580906464,0.47572977339079114,0.05825406750996228,0.03863794899342232,1.777132341022089e-05,0.0
Carytown,0.8697932244665897,0.03882121480909182,0.02722117282686528,0.01918561984163779,0.00019993156721603318,0.0
Cedarhurst,0.4529168781246778,0.4216091216199663,0.021297214549000573,0.02943147445902998,3.320108372984449e-05,0.0
Central Office,0.6591148577449947,0.16174920969441517,0.039515279241306635,0.07744994731296101,0.0,0.0
Chamberlayne Industrial Center,0.2118450240413545,0.6382423042411464,0.023221807826258888,0.021580508570299205,0.00394011107152935,0.0
Cherry Gardens,0.16076822492137244,0.672675500173074,0.14722489622635523,0.00018715162083719728,0.0,0.0
Chimborazo,0.5537762140547092,0.3551970954152937,0.02853260077321444,0.014388296093729313,0.00375997318870518,0.0
Chippenham Forest,0.5723812460460231,0.4003894495588244,0.006924027644359307,0.0015326702952850673,0.0,0.0
Church Hill,0.6456809405551911,0.24107187061031532,0.027752274206173783,0.045589759146725244,0.0013588548502985007,0.0
Church Hill North,0.286098958267287,0.5971657388231745,0.023208897261341097,0.024708435444639864,0.0,0.0
City Center,0.4600228959874436,0.34833422440998146,0.05172796802684049,0.06697933400023391,0.006470964914658836,0.0
Cofer,0.1960449813529029,0.7255280534207205,0.055123091072498756,0.0003224493844107719,3.3554405710842916e-05,0.0
Colonial Place,0.9189018349012149,0.01761671445941564,0.02352981440997371,0.017763059541930082,0.0,0.0
Commerce Road Industrial Area,0.0851632806250552,0.5754280235548338,0.29612235451865637,0.01670606501591392,2.2982156526002572e-05,0.0
Cottrell Farms,0.2340120511983585,0.3053978018456821,0.3749985076689869,0.014263091464815077,0.0,0.0
Country Club of Virginia,0.7570398478297604,0.08625492267085688,0.052884476681162126,0.08020688657509688,0.005463938351032106,0.0
Creighton,0.012247366860064559,0.967302180030614,0.013380825861124351,4.178883801695983e-05,0.0,0.0
Cullenwood,0.11205527067566858,0.6025556688330345,0.2703313656050744,8.197289559976126e-07,0.0,0.0
Davee Gardens,0.04957958828645984,0.6503334299797043,0.25369672368802554,0.015946651203247317,0.0,0.0
Deerbourne,0.11235572768181418,0.6029210207127969,0.26963069849607724,3.9284786713737e-06,0.0,0.0
Eastview,0.011965904723302653,0.9674587595898507,0.013168225030211788,0.0005630792195653781,3.0491377525556694e-05,0.0
Edgewood,0.19344960180456694,0.752766827902965,0.005851154505424843,0.02121604181332134,9.495967084118394e-05,0.0
Elkhardt,0.11029671784067079,0.6391821191851057,0.21688130066751796,0.005535429495942459,0.0,0.0
Fairfield,0.010239548964070838,0.9716643557020364,0.012619351489946912,0.0,9.491728224232486e-08,0.0
Fairmount,0.12384562673426058,0.8139692490496929,0.018678242664962715,0.01085150778179853,0.0014860740488037896,0.0
Fawnbrook,0.18732865405356391,0.7108634953386592,0.08160428763885187,0.0,0.00010384904307996463,0.0
Forest Hill,0.5851501596956267,0.3894549043094252,0.009445680301312773,0.0019524128093404674,0.0,0.0
Forest Hill Park,0.5669748870175328,0.376700734502388,0.01852689151940232,0.017378132170976363,0.0,0.0
