OBJECTID,ID,Name,District,Class,CreatedBy,CreatedDate,EditBy,EditDate,GlobalID,Shape__Area,Shape__Length,Lead,Non-Lead,Unknown,total_points,known_points,pct_known_lead,pct_known_nonlead,pct_unknown,pct_known_lead_total,pct_known_nonlead_total,total_count,white_count,black_count,hispanic_count,asian_count,native_count,hipi_count,pct_white,pct_black,pct_hispanic,pct_asian,pct_native,pct_hipi
1,ANCL,Ancarows Landing,Old South,2,richmondvagis,1572900161564,richmondvagis,1572900161564,d3763258-5b1a-4db5-8e8c-fe23331784a2,38118946.1796875,31998.5406904348,0,117,88,205,117,0.0,1.0,0.4292682926829268,0.0,0.5707317073170731,2686.94532166211,280.8088808041676,2039.171228659417,137.94762650282618,0.16294294284781863,7.255320367721709,0.0,0.10450859514716987,0.7589180219707679,0.05133994554734502,6.064244833498294e-05,0.002700211392181833,0.0
2,BFNT,Beaufont,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,682eb750-f6f7-4682-8e8a-09637b979a09,9003009.203125,12044.3922382198,0,76,392,468,76,0.0,1.0,0.8376068376068376,0.0,0.1623931623931624,1412.365367311213,269.45616391795687,1096.2865776729448,36.14486638615932,7.9232299599764495,0.02601774994515624,0.0,0.1907836103563863,0.7762060746080156,0.025591725216945825,0.005609901052062951,1.8421401818063173e-05,0.0
3,ISLE,Belle and Mayo Islands,Downtown,3,richmondvagis,1572900161564,richmondvagis,1572900161564,27e63856-3380-4803-8be0-49926f45b5cd,12318937.3007813,23602.9606194263,0,1,20,21,1,0.0,1.0,0.9523809523809523,0.0,0.047619047619047616,1551.062064087158,768.8575189226957,529.9579165533593,41.23865235812064,41.94619093009734,0.0017940698905266031,0.0,0.49569745577859203,0.3416742171856636,0.026587364434311467,0.027043528367630992,1.1566718908714086e-06,0.0
4,BLMD,Bellemeade,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,8caa8e41-8a46-4158-ad95-00db7d6541fd,14060133.578125,15352.6052380613,1,82,975,1058,83,0.012048192771084338,0.9879518072289156,0.9215500945179584,0.000945179584120983,0.07750472589792061,993.572925939996,103.47235756984415,754.3136511030801,50.87629465803655,0.016493590362421148,2.699407989533112,0.0,0.10414168388490597,0.759193041003449,0.0512053955273627,1.6600281601692143e-05,0.0027168695110922686,0.0
5,BLVU,Bellevue,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,4609fa31-9100-4d2e-aaf0-a9b63f3c1866,18592001.1054688,18214.068154893,80,140,1114,1334,220,0.36363636363636365,0.6363636363636364,0.8350824587706147,0.05997001499250375,0.10494752623688156,3310.462758222159,2092.117953321233,924.2830660016816,60.4797673850377,47.325531534346496,0.0,0.0,0.6319714511589243,0.279200563034896,0.018269278890035774,0.01429574503347141,0.0,0.0
6,BMWD,Belmont Woods,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,7baddf67-6303-4d04-919d-5879f45e9132,8825774.53125,13801.9581041861,0,98,56,154,98,0.0,1.0,0.36363636363636365,0.0,0.6363636363636364,655.3590651084962,122.07442716492099,464.7616116069809,55.44885032053028,0.03385513858355342,0.002711540337137386,0.0,0.18627105912498712,0.7091709512403533,0.08460835177636644,5.165891552587073e-05,4.137488106139928e-06,0.0
7,BCTR,Belt Center,Midlothian,2,richmondvagis,1572900161564,richmondvagis,1572900161564,679504f2-b819-4bcd-bd4f-657714517e38,9561116.5546875,17041.6505209331,0,43,289,332,43,0.0,1.0,0.8704819277108434,0.0,0.12951807228915663,1210.8252275232412,136.0802745971398,750.8722966174769,245.3148634486688,24.648375498916646,0.9987428198919891,0.0,0.11238638864131843,0.620132682693931,0.20260138116750637,0.020356674884727352,0.0008248447399257865,0.0
8,BIO,Biotech and MCV District,Downtown,2,richmondvagis,1572900161564,richmondvagis,1572900161564,7bc097fa-0d16-4144-b2ad-c206e6f76733,5580532.2890625,12267.9017626349,0,87,44,131,87,0.0,1.0,0.33587786259541985,0.0,0.6641221374045801,1254.755504441437,469.39978188995815,664.4788440818382,45.69102569941403,37.10467052249014,0.07158836640337436,0.0,0.37409661103572095,0.5295683834259293,0.03641428592078876,0.029571235504567507,5.70536380593464e-05,0.0
9,BLKW,Blackwell,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,a93cd195-4bb9-4d05-a203-18c5ce9d7925,10024034.0585938,13242.2737942625,4,240,643,887,244,0.01639344262295082,0.9836065573770492,0.7249154453213078,0.004509582863585118,0.2705749718151071,1518.6035678345272,326.4459610809116,1042.5108351283288,19.66985112091284,5.76721029444216,0.006743105880472105,0.0,0.214964568762611,0.6864930764089479,0.012952591141980076,0.00379770627212867,4.440333226720602e-06,0.0
10,BRAR,Brauers,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,e08edd35-7b8f-44ff-9e2e-2b09bd27ea28,2389372.65625,6337.7271226186,19,16,212,247,35,0.5428571428571428,0.45714285714285713,0.8582995951417004,0.07692307692307693,0.06477732793522267,556.6476806573505,32.50864753555934,498.25716152202244,12.628348714952486,3.88914643535897e-06,1.750463750066015,0.0,0.05840075987951584,0.8951032741816616,0.022686430131244863,6.986728896033915e-09,0.003144652912231442,0.0
