Name,Lead,Non-Lead,Unknown,total_points,known_points,pct_known_lead,pct_known_nonlead,pct_unknown,pct_known_lead_total,pct_known_nonlead_total
Fulton,14,312,1478,1804,326,0.04294478527607362,0.9570552147239264,0.8192904656319291,0.007760532150776054,0.1729490022172949
Gambles Hill,0,30,13,43,30,0.0,1.0,0.3023255813953488,0.0,0.6976744186046512
Gilpin,0,17,341,358,17,0.0,1.0,0.952513966480447,0.0,0.04748603351955307
Ginter Park,35,134,928,1097,169,0.20710059171597633,0.7928994082840237,0.845943482224248,0.03190519598906107,0.12215132178669097
Ginter Park Terrace,16,11,131,158,27,0.5925925925925926,0.4074074074074074,0.8291139240506329,0.10126582278481013,0.06962025316455696
Gravel Hill,0,96,186,282,96,0.0,1.0,0.6595744680851063,0.0,0.3404255319148936
Green Park,3,13,276,292,16,0.1875,0.8125,0.9452054794520548,0.010273972602739725,0.04452054794520548
Hickory Hill,0,61,393,454,61,0.0,1.0,0.8656387665198237,0.0,0.1343612334801762
Highland Park Southern Tip,67,109,684,860,176,0.3806818181818182,0.6193181818181818,0.7953488372093023,0.07790697674418605,0.12674418604651164
Highland Terrace,18,32,369,419,50,0.36,0.64,0.8806682577565632,0.04295942720763723,0.07637231503579953
Hillside Court,0,13,257,270,13,0.0,1.0,0.9518518518518518,0.0,0.04814814814814815
Hioaks,0,92,94,186,92,0.0,1.0,0.5053763440860215,0.0,0.4946236559139785
Hollywood Cemetery,0,18,26,44,18,0.0,1.0,0.5909090909090909,0.0,0.4090909090909091
Huguenot,2,505,1224,1731,507,0.0039447731755424065,0.9960552268244576,0.707105719237435,0.0011554015020219526,0.29173887926054304
Jackson Ward,14,102,692,808,116,0.1206896551724138,0.8793103448275862,0.8564356435643564,0.017326732673267328,0.12623762376237624
Jahnke,0,338,619,957,338,0.0,1.0,0.6468129571577848,0.0,0.35318704284221525
Jeff Davis,1,116,1407,1524,117,0.008547008547008548,0.9914529914529915,0.9232283464566929,0.0006561679790026247,0.07611548556430446
John Marshall,3,27,217,247,30,0.1,0.9,0.8785425101214575,0.012145748987854251,0.10931174089068826
Laburnum Park,20,37,196,253,57,0.3508771929824561,0.6491228070175439,0.7747035573122529,0.07905138339920949,0.14624505928853754
Magnolia Industrial Center,0,22,40,62,22,0.0,1.0,0.6451612903225806,0.0,0.3548387096774194
Malvern Gardens,11,32,592,635,43,0.2558139534883721,0.7441860465116279,0.9322834645669291,0.01732283464566929,0.050393700787401574
Manchester,0,183,333,516,183,0.0,1.0,0.6453488372093024,0.0,0.3546511627906977
Mary Munford,2,37,433,472,39,0.05128205128205128,0.9487179487179487,0.9173728813559322,0.00423728813559322,0.07838983050847458
Maury,0,36,155,191,36,0.0,1.0,0.8115183246073299,0.0,0.18848167539267016
Maymont,4,18,408,430,22,0.18181818181818182,0.8181818181818182,0.9488372093023256,0.009302325581395349,0.04186046511627907
Maymont Park,0,4,20,24,4,0.0,1.0,0.8333333333333334,0.0,0.16666666666666666
McGuire,1,75,511,587,76,0.013157894736842105,0.9868421052631579,0.8705281090289608,0.0017035775127768314,0.12776831345826234
McGuire Manor,0,55,387,442,55,0.0,1.0,0.8755656108597285,0.0,0.1244343891402715
