Name,Lead,Non-Lead,Unknown,total_points,known_points,pct_lead_total,pct_nonlead_total,pct_unknown,pct_lead_known,pct_nonlead_known,avg_year_built,count_year_samples,avg_house_age
Central Office,0,68,45,113,68,0.0,0.6017699115044248,0.39823008849557523,0.0,1.0,1949.0636363636363,110,75.9363636363637
Chamberlayne Industrial Center,2,57,416,475,59,0.004210526315789474,0.12,0.8757894736842106,0.03389830508474576,0.9661016949152542,1934.6263269639066,471,90.37367303609335
Cherry Gardens,0,33,65,98,33,0.0,0.336734693877551,0.6632653061224489,0.0,1.0,1968.6382978723404,94,56.361702127659555
Chimborazo,17,92,581,690,109,0.02463768115942029,0.13333333333333333,0.8420289855072464,0.1559633027522936,0.8440366972477065,1932.4897660818713,684,92.51023391812873
Chippenham Forest,0,47,241,288,47,0.0,0.16319444444444445,0.8368055555555556,0.0,1.0,1972.7083333333333,288,52.29166666666674
Church Hill,72,208,1217,1497,280,0.04809619238476954,0.13894455577822312,0.8129592518370073,0.2571428571428571,0.7428571428571429,1910.9219905850707,1487,114.07800941492928
Church Hill North,23,397,916,1336,420,0.01721556886227545,0.2971556886227545,0.6856287425149701,0.05476190476190476,0.9452380952380952,1960.8003060443764,1307,64.19969395562362
City Center,0,120,229,349,120,0.0,0.3438395415472779,0.6561604584527221,0.0,1.0,1931.3538011695907,342,93.64619883040928
Cofer,0,29,281,310,29,0.0,0.0935483870967742,0.9064516129032258,0.0,1.0,1951.186274509804,306,73.81372549019602
Colonial Place,21,92,855,968,113,0.02169421487603306,0.09504132231404959,0.8832644628099173,0.18584070796460178,0.8141592920353983,1948.5046535677352,967,76.4953464322648
Commerce Road Industrial Area,0,247,172,419,247,0.0,0.5894988066825776,0.4105011933174224,0.0,1.0,1959.9634146341464,410,65.03658536585363
Cottrell Farms,0,89,450,539,89,0.0,0.16512059369202226,0.8348794063079777,0.0,1.0,1965.5493482309125,537,59.45065176908747
Country Club of Virginia,0,8,45,53,8,0.0,0.1509433962264151,0.8490566037735849,0.0,1.0,1943.2075471698113,53,81.79245283018872
Creighton,0,13,458,471,13,0.0,0.027600849256900213,0.9723991507430998,0.0,1.0,1942.615,200,82.38499999999999
Cullenwood,0,78,128,206,78,0.0,0.3786407766990291,0.6213592233009708,0.0,1.0,1977.430693069307,202,47.569306930693074
Davee Gardens,0,4,280,284,4,0.0,0.014084507042253521,0.9859154929577465,0.0,1.0,1948.3427561837457,283,76.65724381625432
Deerbourne,0,23,322,345,23,0.0,0.06666666666666667,0.9333333333333333,0.0,1.0,1966.795918367347,343,58.204081632653015
Eastview,0,22,190,212,22,0.0,0.10377358490566038,0.8962264150943396,0.0,1.0,1945.144927536232,207,79.85507246376801
Edgewood,8,16,364,388,24,0.020618556701030927,0.041237113402061855,0.9381443298969072,0.3333333333333333,0.6666666666666666,1945.7538860103627,386,79.24611398963725
Elkhardt,0,10,226,236,10,0.0,0.0423728813559322,0.9576271186440678,0.0,1.0,1969.5805084745762,236,55.41949152542384
Fairfield,0,9,443,452,9,0.0,0.01991150442477876,0.9800884955752213,0.0,1.0,1963.3022222222223,450,61.697777777777674
Fairmount,28,71,454,553,99,0.05063291139240506,0.12839059674502712,0.8209764918625678,0.2828282828282828,0.7171717171717171,1943.7454212454213,546,81.25457875457869
Fawnbrook,0,133,105,238,133,0.0,0.5588235294117647,0.4411764705882353,0.0,1.0,1982.2203389830509,236,42.77966101694915
Forest Hill,16,69,542,627,85,0.025518341307814992,0.11004784688995216,0.8644338118022329,0.18823529411764706,0.8117647058823529,1943.3766025641025,624,81.62339743589746
Forest Hill Park,0,0,10,10,0,0.0,0.0,1.0,0.0,0.0,1843.0,10,182.0
Forest Hill Terrace,24,53,348,425,77,0.05647058823529412,0.12470588235294118,0.8188235294117647,0.3116883116883117,0.6883116883116883,1942.0259433962265,424,82.97405660377353
Forest View,0,35,339,374,35,0.0,0.09358288770053476,0.9064171122994652,0.0,1.0,1950.807486631016,374,74.19251336898401
Fulton,14,312,1478,1804,326,0.007760532150776054,0.1729490022172949,0.8192904656319291,0.04294478527607362,0.9570552147239264,1956.2494407158836,1788,68.75055928411643
Gambles Hill,0,30,13,43,30,0.0,0.6976744186046512,0.3023255813953488,0.0,1.0,1958.4761904761904,42,66.52380952380963
Gilpin,0,17,341,358,17,0.0,0.04748603351955307,0.952513966480447,0.0,1.0,1954.909090909091,352,70.09090909090901
Ginter Park,35,134,928,1097,169,0.03190519598906107,0.12215132178669097,0.845943482224248,0.20710059171597633,0.7928994082840237,1938.7899543378996,1095,86.21004566210036
Ginter Park Terrace,16,11,131,158,27,0.10126582278481013,0.06962025316455696,0.8291139240506329,0.5925925925925926,0.4074074074074074,1925.259493670886,158,99.74050632911394
Gravel Hill,0,96,186,282,96,0.0,0.3404255319148936,0.6595744680851063,0.0,1.0,1974.1870503597122,278,50.8129496402878
